Player,Team,S/C,Pos,GP,G,A,+/-,PIM,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,TOI/GP,FOW%
Markus Granlund,EDM,L,C,34,3,1,-1,14,3,4,0,0,0,0,0,1,26,10:50,43.9
Phillip Di Giuseppe,NYR,L,L,20,1,3,1,2,1,4,0,0,0,0,0,0,35,11:17,0
Josh Anderson,CBJ,R,R,26,1,3,-8,17,1,4,0,0,0,0,0,0,63,16:04,36.8
Danny DeKeyser,DET,L,D,8,0,4,0,4,0,4,0,0,0,0,0,0,12,22:04,--
John Hayden,NJD,R,C,43,3,1,-2,77,3,4,0,0,0,0,0,1,39,9:43,21.1
Valentin Zykov,VGK,R,L,15,1,3,-2,6,0,3,1,1,0,0,0,0,19,12:13,0
Ross Johnston,NYI,L,L,32,3,1,1,78,3,4,0,0,0,0,0,0,16,7:59,100
Dakota Mermis,NJD,L,D,10,1,3,7,4,1,4,0,0,0,0,0,0,17,19:13,--
Brendan Perlini,CHI,L,L,40,1,3,-18,10,1,4,0,0,0,0,0,0,48,10:42,--
Christoffer Ehn,DET,L,C,54,2,2,-21,2,2,4,0,0,0,0,0,0,36,10:25,42.5
Dryden Hunt,FLA,L,L,21,0,4,0,24,0,4,0,0,0,0,0,0,33,10:30,--
Aleksi Saarela,FLA,L,C,9,2,2,2,0,2,3,0,1,0,0,0,0,15,12:15,35.3
Carl Grundstrom,LAK,L,R,13,0,4,2,8,0,4,0,0,0,0,0,0,16,12:46,--
Josh Mahura,ANA,L,D,11,1,3,-3,2,1,4,0,0,0,0,0,0,11,16:14,--
Morgan Geekie,CAR,R,C,2,3,1,3,2,3,4,0,0,0,0,0,0,4,11:47,54.6
Jesper Boqvist,NJD,L,C,35,4,0,-11,8,3,3,1,1,0,0,0,0,41,10:57,31.3
Erik Brannstrom,OTT,L,D,31,0,4,-9,16,0,3,0,1,0,0,0,0,38,14:51,--
Alexander True,SJS,L,C,12,0,4,1,2,0,4,0,0,0,0,0,0,12,10:00,46.4
Isac Lundestrom,ANA,L,C,15,0,4,-2,0,0,3,0,1,0,0,0,0,10,13:55,46.8
Barrett Hayton,ARI,L,C,20,1,3,2,14,1,4,0,0,0,0,0,1,27,11:09,37.7
Ilya Lyubushkin,ARI,R,D,51,0,4,4,18,0,4,0,0,0,0,0,0,41,14:11,--
Justin Abdelkader,DET,L,L,49,0,3,-14,25,0,3,0,0,0,0,0,0,40,11:32,55.1
Vladimir Sobotka,BUF,L,C,16,1,2,2,4,1,3,0,0,0,0,0,0,23,14:16,55.7
Alex Biega,DET,R,D,49,0,3,-9,24,0,3,0,0,0,0,0,0,55,16:25,--
Yannick Weber,NSH,R,D,41,1,2,-1,14,1,3,0,0,0,0,0,1,45,14:01,--
Luke Schenn,TBL,R,D,25,1,2,-8,23,1,3,0,0,0,0,0,0,31,12:27,--
Greg Pateryn,MIN,R,D,20,0,3,1,6,0,3,0,0,0,0,0,0,22,15:28,--
Luke Witkowski,TBL,R,D,12,1,2,-4,13,1,3,0,0,0,0,0,0,10,8:48,--
John Moore,BOS,L,D,24,2,1,-2,11,2,3,0,0,0,0,0,0,33,16:33,--
Andrew Agozzino,PIT,L,L,22,1,2,3,4,1,3,0,0,0,0,0,0,10,7:21,50.7
Matt Irwin,NSH,L,D,36,0,3,-15,15,0,3,0,0,0,0,0,0,58,14:28,--
Matt Tennyson,NJD,R,D,20,0,3,-2,6,0,3,0,0,0,0,0,0,14,12:09,--
Stefan Matteau,CBJ,L,C,9,2,1,0,5,2,3,0,0,0,0,0,0,18,12:22,--
Christian Djoos,WSH,L,D,11,1,2,3,0,1,2,0,1,0,0,0,0,13,19:06,--
Nic Petan,TOR,L,C,16,0,3,-4,4,0,3,0,0,0,0,0,0,19,11:07,25
Andreas Englund,OTT,L,D,24,0,3,-8,12,0,3,0,0,0,0,0,0,10,10:54,--
Dylan Sikura,CHI,L,C,9,1,2,1,0,1,3,0,0,0,0,0,0,10,9:54,0
Jake Evans,MTL,R,C,13,2,1,1,0,2,3,0,0,0,0,0,0,14,10:21,51.8
Dennis Gilbert,CHI,L,D,21,1,2,-8,38,1,3,0,0,0,0,0,0,12,15:42,--
Austin Czarnik,CGY,R,C,8,2,1,1,0,1,2,1,1,0,0,0,0,9,10:11,33.3
Mikhail Vorobyev,PHI,L,C,20,1,2,-5,6,1,3,0,0,0,0,0,0,15,10:26,55.7
Christian Jaros,OTT,R,D,13,0,3,-2,6,0,2,0,0,0,1,0,0,5,10:31,--
Rudolfs Balcers,OTT,L,L,15,1,2,-2,0,1,3,0,0,0,0,0,1,23,12:08,0
Adam Brooks,TOR,L,C,7,0,3,1,0,0,3,0,0,0,0,0,0,2,7:51,50
Julien Gauthier,CAR,R,R,17,0,3,1,8,0,3,0,0,0,0,0,0,10,8:17,33.3
Rasmus Asplund,BUF,L,C,29,1,2,-4,6,1,2,0,0,0,1,0,0,36,10:50,43
Kieffer Bellows,NYI,L,L,8,2,1,3,2,2,3,0,0,0,0,0,1,11,10:39,--
Andrew Peeke,CBJ,R,D,22,1,2,1,4,1,3,0,0,0,0,0,0,23,13:51,--
Givani Smith,DET,L,R,21,2,1,-2,9,2,3,0,0,0,0,0,0,22,9:41,--
Calle Rosen,COL,L,D,12,0,3,0,4,0,3,0,0,0,0,0,0,14,13:35,--
Martin Kaut,COL,R,R,9,2,1,-1,2,1,2,1,1,0,0,0,0,13,10:08,100
Steven Kampfer,BOS,R,D,10,0,2,2,2,0,0,0,2,0,0,0,0,13,13:38,--
Cody Goloubef,OTT,R,D,26,1,1,-3,8,1,2,0,0,0,0,0,0,18,15:11,--
Mark Barberio,COL,L,D,21,0,2,3,16,0,2,0,0,0,0,0,0,29,14:06,--
Brandon Pirri,VGK,L,C,16,0,2,-4,8,0,2,0,0,0,0,0,0,24,12:34,66.7
Nick Bjugstad,PIT,R,C,13,1,1,3,8,1,2,0,0,0,0,0,0,18,12:14,39.6
Sam Carrick,ANA,R,C,9,1,1,-3,0,0,1,0,0,1,1,0,0,16,13:46,45.8
Matthew Peca,MTL,L,C,14,0,2,-4,0,0,2,0,0,0,0,0,0,7,10:27,54.4
Scott Wilson,BUF,L,C,6,1,1,1,2,1,2,0,0,0,0,0,0,8,11:38,--
Tyler Graovac,VAN,L,C,8,2,0,-2,2,0,0,2,2,0,0,0,0,5,6:16,36.4
Fredrik Claesson,NJD,L,D,5,1,1,1,0,1,2,0,0,0,0,0,0,1,14:29,--
Tomas Jurco,EDM,L,R,12,0,2,1,4,0,2,0,0,0,0,0,0,7,9:59,50
Xavier Ouellet,MTL,L,D,12,0,2,0,4,0,2,0,0,0,0,0,0,8,13:54,--
Sven Baertschi,VAN,L,L,6,0,2,-2,4,0,0,0,2,0,0,0,0,7,11:49,--
Charles Hudon,MTL,L,L,15,1,1,-9,0,1,2,0,0,0,0,0,1,22,11:32,25
Connor Clifton,BOS,R,D,31,2,0,4,12,2,2,0,0,0,0,0,0,20,14:25,--
Nathan Walker,STL,L,L,5,1,1,-2,4,1,2,0,0,0,0,0,0,6,11:08,100
Joel Hanley,DAL,L,D,8,0,2,0,6,0,2,0,0,0,0,0,0,4,11:21,--
Christian Folin,MTL,R,D,16,1,1,-1,13,1,2,0,0,0,0,0,0,13,14:26,--
Jacob Middleton,SJS,L,D,10,0,2,-2,9,0,2,0,0,0,0,0,0,9,10:46,--
Joe Hicketts,DET,L,D,6,0,2,-5,2,0,2,0,0,0,0,0,0,6,18:17,--
Cole Bardreau,NYI,R,C,10,1,1,-2,6,1,2,0,0,0,0,0,1,10,8:52,42
Nick Merkley,NJD,L,R,4,1,1,0,2,1,2,0,0,0,0,0,0,8,11:22,--
Daniel Sprong,ANA,R,R,8,1,1,-2,0,0,1,1,1,0,0,0,0,17,14:06,--
Jeremy Lauzon,BOS,L,D,19,1,1,5,29,1,2,0,0,0,0,0,0,20,15:25,--
Zach Senyshyn,BOS,R,R,4,0,2,1,0,0,2,0,0,0,0,0,0,1,8:26,100
Nick Caamano,DAL,L,R,12,1,1,2,4,1,2,0,0,0,0,0,0,13,9:58,50
Connor Bunnaman,PHI,L,C,21,1,1,7,2,1,2,0,0,0,0,0,0,18,9:17,37.5
Michael McLeod,NJD,R,C,12,0,2,4,4,0,2,0,0,0,0,0,0,11,10:14,50
Gerald Mayhew,MIN,R,C,13,2,0,4,2,2,2,0,0,0,0,0,0,16,11:33,50
Ryan Poehling,MTL,L,C,27,1,1,-4,4,1,2,0,0,0,0,0,0,26,10:20,20
Adam Johnson,PIT,L,C,7,1,1,-1,2,1,2,0,0,0,0,0,0,5,6:42,--
Joel Persson,EDM,R,D,13,0,2,-1,2,0,2,0,0,0,0,0,0,17,15:19,--
Logan O'Connor,COL,R,R,16,2,0,0,2,2,2,0,0,0,0,0,1,15,8:26,0
Nico Sturm,MIN,L,C,6,0,2,2,0,0,2,0,0,0,0,0,0,2,11:54,53.1
Andrew Ladd,NYI,L,L,4,1,0,2,4,1,1,0,0,0,0,0,0,5,11:58,--
Troy Brouwer,STL,R,R,13,1,0,1,7,1,1,0,0,0,0,0,0,12,9:28,50
Chris Stewart,PHI,R,R,16,0,1,-7,21,0,1,0,0,0,0,0,0,5,7:47,--
Micheal Haley,NYR,L,L,22,1,0,-7,50,1,1,0,0,0,0,0,0,9,5:32,58.3
Aaron Ness,ARI,L,D,24,0,1,1,0,0,1,0,0,0,0,0,0,11,12:32,--
Brian Lashoff,DET,L,D,9,0,1,1,6,0,1,0,0,0,0,0,0,6,14:33,--
Brandon Manning,EDM,L,D,9,1,0,-1,17,1,1,0,0,0,0,0,0,8,11:03,--
Derek Forbort,LAK,L,D,20,0,1,-5,4,0,1,0,0,0,0,0,0,22,17:49,--
Jani Hakanpaa,ANA,R,D,5,1,0,1,2,1,1,0,0,0,0,0,0,4,18:07,--
Ben Street,NJD,L,C,3,0,1,1,0,0,1,0,0,0,0,0,0,4,8:08,45.5
Cory Conacher,TBL,L,C,4,0,1,-2,4,0,1,0,0,0,0,0,0,5,11:05,--
Nick Seeler,MIN,L,D,12,0,1,-8,15,0,1,0,0,0,0,0,0,5,11:56,--
T.J. Tynan,COL,R,C,16,0,1,-1,2,0,1,0,0,0,0,0,0,7,8:28,16.7
Andy Andreoff,PHI,L,C,14,0,1,-3,2,0,1,0,0,0,0,0,0,14,8:32,50
Alan Quine,CGY,L,C,9,1,0,-1,4,1,1,0,0,0,0,0,0,12,9:48,100
Miikka Salomaki,NSH,L,R,5,1,0,2,4,1,1,0,0,0,0,0,1,2,12:09,--
Pontus Aberg,TOR,R,L,5,0,1,0,0,0,1,0,0,0,0,0,0,4,8:42,--
Brendan Gaunce,BOS,L,C,1,0,1,1,2,0,1,0,0,0,0,0,0,0,9:10,0
Gemel Smith,TBL,L,C,3,1,0,0,4,1,1,0,0,0,0,0,0,1,9:10,65
Paul LaDue,LAK,R,D,2,0,1,0,0,0,1,0,0,0,0,0,0,2,12:48,--
Buddy Robinson,CGY,R,R,5,1,0,0,7,1,1,0,0,0,0,0,0,6,12:14,--
Jonny Brodzinski,SJS,R,C,3,0,1,0,0,0,1,0,0,0,0,0,0,5,7:24,0
Peter Cehlarik,BOS,L,L,3,0,1,-1,2,0,1,0,0,0,0,0,0,0,11:16,50
Carl Dahlstrom,WPG,L,D,15,0,1,-4,6,0,1,0,0,0,0,0,0,9,14:46,--
Colby Cave,EDM,L,C,11,1,0,-3,4,1,1,0,0,0,0,0,0,5,9:39,46.8
Patrick Brown,VGK,R,C,1,1,0,0,0,1,1,0,0,0,0,0,0,2,10:04,--
Daniel Carr,NSH,L,L,11,1,0,-5,4,1,1,0,0,0,0,0,0,14,10:20,0
Ryan MacInnis,CBJ,L,C,10,0,1,1,0,0,1,0,0,0,0,0,0,13,9:21,37
Maxim Letunov,SJS,L,C,3,1,0,0,0,1,1,0,0,0,0,0,0,3,9:05,50
Mark Friedman,PHI,R,D,6,0,1,0,2,0,1,0,0,0,0,0,0,2,13:35,--
Clark Bishop,CAR,L,C,5,0,1,-2,4,0,1,0,0,0,0,0,0,4,7:39,38.2
Anton Lindholm,COL,L,D,4,0,1,1,0,0,1,0,0,0,0,0,0,1,11:47,--
Anthony Angello,PIT,R,R,8,1,0,-1,4,1,1,0,0,0,0,0,0,5,5:43,0
David Kase,PHI,L,R,6,1,0,1,0,1,1,0,0,0,0,0,1,5,9:47,100
Kyle Capobianco,ARI,L,D,9,1,0,-1,2,1,1,0,0,0,0,0,0,10,14:46,--
J.C. Beaudin,OTT,R,C,22,0,1,-4,7,0,1,0,0,0,0,0,0,18,8:38,52.5
Lukas Vejdemo,MTL,L,C,7,1,0,0,0,1,1,0,0,0,0,0,0,7,8:01,20
Niko Mikkola,STL,L,D,5,0,1,3,0,0,1,0,0,0,0,0,0,10,14:22,--
Mason Marchment,TOR,L,L,4,0,1,0,0,0,1,0,0,0,0,0,0,3,8:05,100
Tyler Benson,EDM,L,L,7,0,1,-1,0,0,1,0,0,0,0,0,0,5,10:23,100
Carsen Twarynski,PHI,L,L,15,1,0,-2,4,1,1,0,0,0,0,0,0,14,10:41,0
Tim Gettinger,NYR,L,L,2,0,1,1,0,0,1,0,0,0,0,0,0,3,8:23,0
Vitaly Abramov,OTT,L,L,2,1,0,0,2,1,1,0,0,0,0,0,0,3,5:47,--
Egor Korshkov,TOR,L,R,1,1,0,1,0,1,1,0,0,0,0,0,0,1,10:08,--
Lucas Carlsson,CHI,L,D,6,0,1,3,0,0,1,0,0,0,0,0,0,3,14:08,--
Mathieu Olivier,NSH,R,R,8,0,1,1,4,0,1,0,0,0,0,0,0,6,7:33,--
Gage Quinney,VGK,L,C,3,0,1,-1,0,0,1,0,0,0,0,0,0,2,9:43,47.1
Cale Fleury,MTL,R,D,41,1,0,-4,6,1,1,0,0,0,0,0,0,45,14:21,--
Mikey Anderson,LAK,L,D,6,1,0,4,0,1,1,0,0,0,0,0,1,9,18:09,--
Klim Kostin,STL,L,C,4,1,0,1,0,1,1,0,0,0,0,0,0,5,8:32,--
Jack Studnicka,BOS,R,C,2,0,1,2,2,0,1,0,0,0,0,0,0,3,12:08,60
Jason Robertson,DAL,L,L,3,0,1,0,0,0,0,0,1,0,0,0,0,4,12:19,--
Timothy Liljegren,TOR,R,D,11,0,1,-5,2,0,1,0,0,0,0,0,0,2,10:18,--
Lias Andersson,NYR,L,C,17,0,1,-8,4,0,1,0,0,0,0,0,0,13,9:33,46.6
Gustav Lindstrom,DET,R,D,16,0,1,-6,14,0,0,0,1,0,0,0,0,9,16:32,--
Eetu Luostarinen,CAR,L,C,8,0,1,-2,0,0,1,0,0,0,0,0,0,9,9:59,52.4
Alexander Volkov,TBL,L,R,9,0,1,-6,6,0,1,0,0,0,0,0,0,7,10:16,25
Jonathan Davidsson,OTT,R,R,6,0,1,0,0,0,1,0,0,0,0,0,0,3,5:31,--
Zach Whitecloud,VGK,R,D,16,0,1,3,4,0,1,0,0,0,0,0,0,9,14:19,--
Kiefer Sherwood,ANA,R,L,10,0,1,-1,6,0,1,0,0,0,0,0,0,17,13:20,75
Joel L'Esperance,DAL,R,R,3,1,0,0,2,1,1,0,0,0,0,0,0,2,7:21,0
Martin Fehervary,WSH,L,D,6,0,1,-2,6,0,1,0,0,0,0,0,0,7,15:59,--
Liam Foudy,CBJ,L,C,2,0,1,1,0,0,1,0,0,0,0,0,0,3,14:13,--
Jordan Gross,ARI,R,D,2,0,1,2,0,0,1,0,0,0,0,0,0,3,16:11,--
David Gustafsson,WPG,L,C,22,1,0,-2,0,1,1,0,0,0,0,0,1,4,6:09,54
Lean Bergmann,SJS,L,C,12,0,1,-6,4,0,1,0,0,0,0,0,0,11,8:16,0
Joel Kiviranta,DAL,L,L,11,1,0,-1,4,1,1,0,0,0,0,0,0,13,10:39,--
Jonathan Ericsson,DET,L,D,18,0,0,-12,4,0,0,0,0,0,0,0,0,16,14:15,--
Mark Letestu,WPG,R,C,7,0,0,0,0,0,0,0,0,0,0,0,0,5,10:36,54.4
Karl Alzner,MTL,L,D,4,0,0,-1,0,0,0,0,0,0,0,0,0,4,13:55,--
Paul Carey,BOS,L,C,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,6:22,--
Dalton Prout,SJS,R,D,2,0,0,0,7,0,0,0,0,0,0,0,0,2,12:49,--
Jordan Szwarz,OTT,R,C,3,0,0,0,2,0,0,0,0,0,0,0,0,2,4:55,44.4
Kevin Connauton,COL,L,D,4,0,0,-2,0,0,0,0,0,0,0,0,0,4,15:30,--
Gabriel Dumont,MIN,R,C,3,0,0,-1,0,0,0,0,0,0,0,0,0,3,11:30,40
Dalton Smith,BUF,L,L,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1:26,--
Dylan McIlrath,DET,R,D,16,0,0,-4,23,0,0,0,0,0,0,0,0,14,14:49,--
Michael Chaput,ARI,L,C,2,0,0,-2,2,0,0,0,0,0,0,0,0,2,10:01,53.9
Kevin Gravel,TOR,L,D,3,0,0,0,0,0,0,0,0,0,0,0,0,2,11:05,--
Brandon Davidson,CGY,L,D,12,0,0,-3,0,0,0,0,0,0,0,0,0,17,12:29,--
Zach Trotman,PIT,R,D,8,0,0,-1,4,0,0,0,0,0,0,0,0,11,14:43,--
Michael Sgarbossa,WSH,L,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,8:07,50
Brian Gibbons,CAR,L,C,15,0,0,-7,4,0,0,0,0,0,0,0,0,9,9:46,--
Steven Fogarty,NYR,R,C,7,0,0,-1,0,0,0,0,0,0,0,0,0,2,5:53,66.7
Derrick Pouliot,STL,L,D,2,0,0,-1,2,0,0,0,0,0,0,0,0,1,8:20,--
Boo Nieves,NYR,L,C,4,0,0,2,4,0,0,0,0,0,0,0,0,2,7:32,73.7
Trevor Carrick,SJS,L,D,3,0,0,0,5,0,0,0,0,0,0,0,0,1,5:47,--
Thomas Di Pauli,PIT,L,C,2,0,0,-3,10,0,0,0,0,0,0,0,0,2,5:59,--
Jake Bischoff,VGK,L,D,4,0,0,-2,4,0,0,0,0,0,0,0,0,6,15:36,--
Riley Barber,MTL,R,R,9,0,0,-1,2,0,0,0,0,0,0,0,0,6,8:15,100
Ashton Sautner,VAN,L,D,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2:49,--
Jayson Megna,COL,R,C,8,0,0,-1,2,0,0,0,0,0,0,0,0,4,6:43,0
Anton Blidh,BOS,L,L,7,0,0,-1,0,0,0,0,0,0,0,0,0,9,11:31,0
John Gilmour,BUF,L,D,4,0,0,-2,0,0,0,0,0,0,0,0,0,5,17:03,--
Tyler Lewington,WSH,R,D,6,0,0,-2,17,0,0,0,0,0,0,0,0,2,10:10,--
Luke Johnson,MIN,R,C,3,0,0,-3,0,0,0,0,0,0,0,0,0,1,11:35,50
Marko Dano,CBJ,L,C,3,0,0,-1,2,0,0,0,0,0,0,0,0,2,7:10,--
Steven Santini,NSH,R,D,2,0,0,1,2,0,0,0,0,0,0,0,0,1,9:33,--
Gustav Olofsson,MTL,L,D,3,0,0,-4,2,0,0,0,0,0,0,0,0,2,8:06,--
Justin Bailey,VAN,R,R,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5:20,--
Samuel Morin,PHI,L,L,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,12:32,--
Jean-Sebastien Dea,BUF,R,C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7:38,50
Nikolay Goldobin,VAN,L,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8:37,--
John Quenneville,CHI,L,C,9,0,0,-1,0,0,0,0,0,0,0,0,0,14,11:03,75
Josh Jacobs,NJD,R,D,2,0,0,1,2,0,0,0,0,0,0,0,0,3,16:36,--
Jake Walman,STL,L,D,1,0,0,1,0,0,0,0,0,0,0,0,0,1,11:04,--
William Lagesson,EDM,L,D,8,0,0,-4,0,0,0,0,0,0,0,0,0,8,11:52,--
Chase De Leo,ANA,L,C,1,0,0,0,0,0,0,0,0,0,0,0,0,1,14:59,0
Austin Poganski,STL,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5:54,--
CJ Suess,WPG,L,L,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,6:26,25
Anthony Richard,NSH,L,C,1,0,0,-1,0,0,0,0,0,0,0,0,0,2,4:10,--
Evgeny Svechnikov,DET,L,L,4,0,0,-1,2,0,0,0,0,0,0,0,0,7,8:20,--
Keegan Kolesar,VGK,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12:06,100
Gabriel Carlsson,CBJ,L,D,6,0,0,-1,2,0,0,0,0,0,0,0,0,3,10:53,--
Colton White,NJD,L,D,6,0,0,-2,4,0,0,0,0,0,0,0,0,2,13:59,--
Christian Wolanin,OTT,L,D,3,0,0,1,0,0,0,0,0,0,0,0,0,4,17:41,--
Alexandre Carrier,NSH,R,D,3,0,0,2,2,0,0,0,0,0,0,0,0,4,10:47,--
Brett Seney,NJD,L,L,2,0,0,-1,0,0,0,0,0,0,0,0,0,1,9:56,0
Cameron Hughes,BOS,L,C,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,9:53,--
Kole Sherwood,CBJ,R,R,3,0,0,0,2,0,0,0,0,0,0,0,0,6,6:38,0
Maxime Lajoie,OTT,L,D,6,0,0,0,0,0,0,0,0,0,0,0,0,3,7:49,--
Kale Clague,LAK,L,D,4,0,0,-3,2,0,0,0,0,0,0,0,0,2,14:34,--
Beck Malenstyn,WSH,L,L,3,0,0,-1,0,0,0,0,0,0,0,0,0,4,9:16,--
Trent Frederic,BOS,L,C,2,0,0,-1,0,0,0,0,0,0,0,0,0,1,6:26,--
Henrik Borgstrom,FLA,L,C,4,0,0,-2,2,0,0,0,0,0,0,0,0,3,12:23,48.2
Tage Thompson,BUF,R,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6:59,--
German Rubtsov,PHI,L,C,4,0,0,-1,0,0,0,0,0,0,0,0,0,1,6:48,42.9
Janne Kuokkanen,NJD,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12:04,--
Otto Koivula,NYI,L,L,12,0,0,0,2,0,0,0,0,0,0,0,0,4,7:55,36.9
Brandon Hagel,CHI,L,L,1,0,0,0,0,0,0,0,0,0,0,0,0,4,11:48,--
Calvin Thurkauf,CBJ,L,C,3,0,0,0,0,0,0,0,0,0,0,0,0,1,8:15,100
Joachim Blichfeld,SJS,R,R,3,0,0,-2,2,0,0,0,0,0,0,0,0,3,12:46,--
Rhett Gardner,DAL,L,C,8,0,0,0,2,0,0,0,0,0,0,0,0,8,10:08,47.2
Brennan Menell,MIN,R,D,5,0,0,1,2,0,0,0,0,0,0,0,0,4,13:59,--
Conor Timmins,COL,R,D,2,0,0,2,0,0,0,0,0,0,0,0,0,1,10:25,--
Jaret Anderson-Dolan,LAK,L,C,4,0,0,-1,0,0,0,0,0,0,0,0,0,2,10:16,38.5
Urho Vaakanainen,BOS,L,D,5,0,0,2,0,0,0,0,0,0,0,0,0,2,16:51,--
Josh Norris,OTT,L,C,3,0,0,2,0,0,0,0,0,0,0,0,0,9,17:55,61.2
Max Veronneau,OTT,R,R,4,0,0,-2,0,0,0,0,0,0,0,0,0,3,8:25,--
Sheldon Dries,COL,L,C,5,0,0,-2,0,0,0,0,0,0,0,0,0,2,6:52,66.7
Lukas Radil,SJS,R,C,14,0,0,-3,8,0,0,0,0,0,0,0,0,12,9:24,25
Oliver Wahlstrom,NYI,R,R,9,0,0,-2,4,0,0,0,0,0,0,0,0,9,10:17,0
Nicolas Beaudin,CHI,L,D,1,0,0,1,0,0,0,0,0,0,0,0,0,2,17:01,--
Lawrence Pilut,BUF,L,D,13,0,0,-4,4,0,0,0,0,0,0,0,0,6,16:14,--
Otto Leskinen,MTL,L,D,5,0,0,0,0,0,0,0,0,0,0,0,0,2,10:18,--
Danil Yurtaykin,SJS,R,L,4,0,0,-1,0,0,0,0,0,0,0,0,0,2,13:00,--
Tobias Bjornfot,LAK,L,D,3,0,0,-4,0,0,0,0,0,0,0,0,0,0,12:58,--
Alexander Yelesin,CGY,R,D,4,0,0,0,0,0,0,0,0,0,0,0,0,2,12:30,--
Anton Wedin,CHI,L,L,4,0,0,1,4,0,0,0,0,0,0,0,0,2,9:04,--
Andrei Chibisov,WPG,L,R,2,0,0,0,0,0,0,0,0,0,0,0,0,1,7:27,--
Joona Luoto,WPG,L,L,16,0,0,-3,2,0,0,0,0,0,0,0,0,9,6:35,--
Nikolai Knyzhov,SJS,L,D,3,0,0,-1,2,0,0,0,0,0,0,0,0,0,10:49,--
